ID,Subject,Predicate,Object,MturkTruth,Sub_par_Pred,Sub_Pred,Obj_par_Pred,Obj_Pred,Sub_Obj,Strength
201179,concept:sportsteam:hawks,concept:teamplaysincity,concept:city:atlanta,1,29,1,29,1,1,58
201138,concept:stadiumoreventvenue:honda_center,concept:stadiumlocatedincity,concept:city:anaheim,1,26,1,26,1,1,52
201137,concept:sportsteam:ducks,concept:teamplaysincity,concept:city:anaheim,1,29,1,29,1,1,58
201400,concept:sportsteam:n1985_chicago_bears,concept:teamplaysincity,concept:city:chicago,1,29,1,29,4,1,145
201182,concept:stadiumoreventvenue:philips_arena,concept:stadiumlocatedincity,concept:city:atlanta,1,26,1,26,1,1,52
201403,concept:stadiumoreventvenue:united_center,concept:stadiumlocatedincity,concept:city:chicago,1,26,1,26,3,1,104
201314,concept:sportsteam:boston_celtics,concept:teamplaysincity,concept:city:boston,1,29,1,29,2,1,87
201330,concept:sportsteam:bills,concept:teamplaysincity,concept:city:buffalo,1,29,1,29,1,1,58
201331,concept:stadiumoreventvenue:ralph_wilson_stadium,concept:stadiumlocatedincity,concept:city:buffalo,1,26,1,26,1,1,52
201312,concept:sportsteam:boston_bruins,concept:teamplaysincity,concept:city:boston,1,29,1,29,2,1,87
201390,concept:stadiumoreventvenue:soldier_field,concept:stadiumlocatedincity,concept:city:chicago,1,26,1,26,3,1,104
201395,concept:sportsteam:chicago_bulls,concept:teamplaysincity,concept:city:chicago,1,29,1,29,4,1,145
201316,concept:stadiumoreventvenue:td_banknorth_garden,concept:stadiumlocatedincity,concept:city:boston,1,26,1,26,1,1,52
201407,concept:sportsteam:blackhawks,concept:teamplaysincity,concept:city:chicago,1,29,1,29,4,1,145
201886,concept:sportsteam:los_angeles_clippers,concept:teamplaysincity,concept:city:los_angeles,1,29,1,29,2,1,87
201733,concept:sportsteam:houston_astros,concept:teamplaysincity,concept:city:houston,1,29,1,29,1,1,58
201420,concept:stadiumoreventvenue:great_american_ball_park,concept:stadiumlocatedincity,concept:city:cincinnati,1,26,1,26,2,1,78
201584,concept:sportsteam:red_wings,concept:teamplaysincity,concept:city:detroit,1,29,1,29,1,1,58
