Subject,Predicate,Object,stv,Strength,overall,MturkTruth
Nigel_Cole,isMarriedTo,Kate_Isitt,0.9350595474,1,0.9350595474,1
Véra_Clouzot,isMarriedTo,Henri-Georges_Clouzot,0.4773990512,1,0.4773990512,1
Norodom_Sihanouk,produced,The_Last_Days_of_Colonel_Savath,0.3942225575,1.3333333333,0.5256300767,1
Ryan_Reynolds,isMarriedTo,Emily_Clark,0.5376727517,0.3333333333,0.179224251,0
Farouk_of_Egypt,isMarriedTo,Farida_of_Egypt,0.4276426733,1.5,0.64146401,1
Jacques_Feyder,isMarriedTo,Françoise_Rosay,0.4199478924,1,0.4199478924,1
Alex_Chandon,directed,Chainsaw_Scumfuck,0.4796206057,2.3333333333,1.1191147466,1
Rita_Wilson,isMarriedTo,Tom_Hanks,0.4010510445,1,0.4010510445,1
Iain_Softley,directed,Backbeat__film_,0.4356231987,3.5,1.5246811955,1
Lotte_Reiniger,directed,The_Adventures_of_Prince_Achmed,0.4211626053,1,0.4211626053,1
Elmar_Klos,directed,The_Shop_on_Main_Street,0.5507027507,1,0.5507027507,1
Ashton_Kutcher,isMarriedTo,Demi_Moore,0.3425098658,1.5,0.5137647987,0
Donald_Knuth,isKnownFor,MMIX,0.4699082375,3,1.4097247125,1
Tony_Bui,produced,Three_Seasons,0.4276425838,1,0.4276425838,1
Denis_Héroux,created,Naked_Massacre,0.4175682068,2,0.8351364136,1
Alan_Rudolph,directed,Love_at_Large,0.4063876569,8.5,3.4542950837,1
Arthur_Rankin,directed,_Jr._The_Mad__Mad__Mad_Comedians,0.4815536439,3,1.4446609317,1
Riazuddin__physicist_,livesIn,Islamabad,0.4255672097,5,2.1278360485,1
Joseph_Bonaparte,isMarriedTo,Julie_Clary,0.4276425838,1,0.4276425838,1
Jean-Pierre_Bekolo,directed,Les_Saignantes,0.4276425838,0.6666666667,0.2850950559,1
François_Dupeyron,directed,The_Officers'_Ward__film_,0.3425099254,2,0.6850198508,1
Robert_Sterling,isMarriedTo,Anne_Jeffreys,0.4849284887,1.5,0.7273927331,1
Eleanor_of_Castile,isMarriedTo,Edward_I_of_England,0.4717358947,1,0.4717358947,1
Rodney_Dangerfield,created,Rover_Dangerfield,0.982727468,1.3333333333,1.3103032906,1
Brittney_Spears,isMarriedTo,George_Clooney,0.4236524352,0.233333333,0.098852235,0
Victor_Salva,directed,Jeepers_Creepers_2,0.4333811402,3.5,1.5168339907,1
