Entity Pair,Subject,Object,STV+AF8-sum,Rel+AF8-Count,Strength,overall
0,Azerbaijan,Azerbaijani+AF8-language,0.4255912602,1,108.9026505719,46.348016296
1,Augustus,Julia+AF8-the+AF8-Elder,0.4276425838,1,109.4275546245,46.7958821985
2,Arthur+AF8-Aikin,England,0.4762486517,1,121.8651446861,58.038110846
3,Arthur+AF8-Aikin,London,0.4106097221,1,105.0690915651,43.1423904889
4,Alexander+AF8-III+AF8-of+AF8-Russia,Maria+AF8-Feodorovna+AF8AXw-Dagmar+AF8-of+AF8-Denmark+AF8-,0.8466507494,2,108.3228432311,91.7116163987
5,Alexander+AF8-III+AF8-of+AF8-Russia,Nicholas+AF8-II+AF8-of+AF8-Russia,0.4211134315,1,107.756838945,45.3778522157
6,Alexander+AF8-III+AF8-of+AF8-Russia,Grand+AF8-Duke+AF8-Michael+AF8-Alexandrovich+AF8-of+AF8-Russia,0.4276425838,1,109.4275546245,46.7958821985
7,Alexander+AF8-III+AF8-of+AF8-Russia,Grand+AF8-Duchess+AF8-Olga+AF8-Alexandrovna+AF8-of+AF8-Russia,0.4448287487,1,113.8252457563,50.6327416403
8,Alexander+AF8-III+AF8-of+AF8-Russia,Grand+AF8-Duke+AF8-Alexander+AF8-Alexandrovich+AF8-of+AF8-Russia,0.4818992913,1,123.3110616666,59.4235132266
9,Alexander+AF8-III+AF8-of+AF8-Russia,Grand+AF8-Duke+AF8-George+AF8-Alexandrovich+AF8-of+AF8-Russia,0.7281054258,1,186.3116520018,135.6545247123
10,Alexander+AF8-III+AF8-of+AF8-Russia,Grand+AF8-Duchess+AF8-Xenia+AF8-Alexandrovna+AF8-of+AF8-Russia,0.4276424944,1,109.4275317483,46.7958626329
11,Alexander+AF8-III+AF8-of+AF8-Russia,Saint+AF8-Petersburg,0.4070726931,1,104.16401698,42.4023269162
12,Alexander+AF8-II+AF8-of+AF8-Russia,Alexander+AF8-III+AF8-of+AF8-Russia,0.4276425838,1,109.4275546245,46.7958821985
13,Aleksandr+AF8-Solzhenitsyn,The+AF8-Gulag+AF8-Archipelago,0.427806139,1,109.4694060356,46.8316839347
