ID,Subject,Predicate,Object,MturkTruth
201179,concept:sportsteam:hawks,concept:teamplaysincity,concept:city:atlanta,1
201138,concept:stadiumoreventvenue:honda_center,concept:stadiumlocatedincity,concept:city:anaheim,1
201137,concept:sportsteam:ducks,concept:teamplaysincity,concept:city:anaheim,1
201400,concept:sportsteam:n1985_chicago_bears,concept:teamplaysincity,concept:city:chicago,1
201182,concept:stadiumoreventvenue:philips_arena,concept:stadiumlocatedincity,concept:city:atlanta,1
201403,concept:stadiumoreventvenue:united_center,concept:stadiumlocatedincity,concept:city:chicago,1
201314,concept:sportsteam:boston_celtics,concept:teamplaysincity,concept:city:boston,1
201330,concept:sportsteam:bills,concept:teamplaysincity,concept:city:buffalo,1
201331,concept:stadiumoreventvenue:ralph_wilson_stadium,concept:stadiumlocatedincity,concept:city:buffalo,1
201312,concept:sportsteam:boston_bruins,concept:teamplaysincity,concept:city:boston,1
201390,concept:stadiumoreventvenue:soldier_field,concept:stadiumlocatedincity,concept:city:chicago,1
201395,concept:sportsteam:chicago_bulls,concept:teamplaysincity,concept:city:chicago,1
201316,concept:stadiumoreventvenue:td_banknorth_garden,concept:stadiumlocatedincity,concept:city:boston,1
201407,concept:sportsteam:blackhawks,concept:teamplaysincity,concept:city:chicago,1
201886,concept:sportsteam:los_angeles_clippers,concept:teamplaysincity,concept:city:los_angeles,1
201733,concept:sportsteam:houston_astros,concept:teamplaysincity,concept:city:houston,1
201420,concept:stadiumoreventvenue:great_american_ball_park,concept:stadiumlocatedincity,concept:city:cincinnati,1
201584,concept:sportsteam:red_wings,concept:teamplaysincity,concept:city:detroit,1
201436,concept:sportsteam:cavaliers,concept:teamplaysincity,concept:city:cleveland,1
201432,concept:stadiumoreventvenue:cleveland_browns_stadium,concept:stadiumlocatedincity,concept:city:cleveland,0
201427,concept:stadiumoreventvenue:paul_brown_stadium,concept:stadiumlocatedincity,concept:city:cincinnati,1
201885,concept:stadiumoreventvenue:staples_center,concept:stadiumlocatedincity,concept:city:los_angeles,1
201958,concept:sportsteam:marlins,concept:teamplaysincity,concept:city:miami,1
201889,concept:sportsteam:clippers,concept:teamplaysincity,concept:city:los_angeles,1
201734,concept:stadiumoreventvenue:minute_maid_park,concept:stadiumlocatedincity,concept:city:houston,1
201421,concept:sportsteam:bengals,concept:teamplaysincity,concept:city:cincinnati,1
201417,concept:sportsteam:reds,concept:teamplaysincity,concept:city:cincinnati,1
201544,concept:sportsteam:mavericks,concept:teamplaysincity,concept:city:dallas,1
201946,concept:stadiumoreventvenue:fedex_forum,concept:stadiumlocatedincity,concept:city:memphis,1
