Subject,Predicate,Object,stv,MturkTruth
concept:sportsteam:hawks,concept:teamplaysincity,concept:city:atlanta,0.4255912602,1
concept:stadiumoreventvenue:honda+AF8-center,concept:stadiumlocatedincity,concept:city:anaheim,0.4276425838,1
concept:sportsteam:ducks,concept:teamplaysincity,concept:city:anaheim,0.4762486517,1
concept:sportsteam:n1985+AF8-chicago+AF8-bears,concept:teamplaysincity,concept:city:chicago,0.4106097221,1
concept:stadiumoreventvenue:philips+AF8-arena,concept:stadiumlocatedincity,concept:city:atlanta,0.4190083146,1
concept:stadiumoreventvenue:united+AF8-center,concept:stadiumlocatedincity,concept:city:chicago,0.4211134315,1
concept:sportsteam:boston+AF8-celtics,concept:teamplaysincity,concept:city:boston,0.4276425838,1
concept:sportsteam:bills,concept:teamplaysincity,concept:city:buffalo,0.4448287487,1
concept:stadiumoreventvenue:ralph+AF8-wilson+AF8-stadium,concept:stadiumlocatedincity,concept:city:buffalo,0.4818992913,1
concept:sportsteam:boston+AF8-bruins,concept:teamplaysincity,concept:city:boston,0.7281054258,1
concept:stadiumoreventvenue:soldier+AF8-field,concept:stadiumlocatedincity,concept:city:chicago,0.4276424944,1
concept:sportsteam:chicago+AF8-bulls,concept:teamplaysincity,concept:city:chicago,0.4070726931,1
concept:stadiumoreventvenue:td+AF8-banknorth+AF8-garden,concept:stadiumlocatedincity,concept:city:boston,0.4276425838,1
concept:sportsteam:blackhawks,concept:teamplaysincity,concept:city:chicago,0.427806139,1
concept:sportsteam:los+AF8-angeles+AF8-clippers,concept:teamplaysincity,concept:city:los+AF8-angeles,0.4475468695,1
concept:sportsteam:houston+AF8-astros,concept:teamplaysincity,concept:city:houston,0.4276425838,1
concept:stadiumoreventvenue:great+AF8-american+AF8-ball+AF8-park,concept:stadiumlocatedincity,concept:city:cincinnati,0.4070726633,1
concept:sportsteam:red+AF8-wings,concept:teamplaysincity,concept:city:detroit,0.4475468397,1
concept:sportsteam:cavaliers,concept:teamplaysincity,concept:city:cleveland,0.4276425838,1
concept:stadiumoreventvenue:cleveland+AF8-browns+AF8-stadium,concept:stadiumlocatedincity,concept:city:cleveland,0.4319685698,0
concept:stadiumoreventvenue:paul+AF8-brown+AF8-stadium,concept:stadiumlocatedincity,concept:city:cincinnati,0.4545196891,1
concept:stadiumoreventvenue:staples+AF8-center,concept:stadiumlocatedincity,concept:city:los+AF8-angeles,0.426417917,1
concept:sportsteam:marlins,concept:teamplaysincity,concept:city:miami,0.4420254827,1
concept:sportsteam:clippers,concept:teamplaysincity,concept:city:los+AF8-angeles,0.471540451,1
concept:stadiumoreventvenue:minute+AF8-maid+AF8-park,concept:stadiumlocatedincity,concept:city:houston,0.4276425838,1
concept:sportsteam:bengals,concept:teamplaysincity,concept:city:cincinnati,0.4276425838,1
concept:sportsteam:reds,concept:teamplaysincity,concept:city:cincinnati,0.4584060609,1
concept:sportsteam:mavericks,concept:teamplaysincity,concept:city:dallas,0.416775465,1
concept:stadiumoreventvenue:fedex+AF8-forum,concept:stadiumlocatedincity,concept:city:memphis,0.4276425838,1
concept:sportsteam:memphis+AF8-grizzlies,concept:teamplaysincity,concept:city:memphis,0.934304893,1
concept:stadiumoreventvenue:wrigley+AF8-field,concept:stadiumlocatedincity,concept:city:chicago,0.3989317715,1
concept:stadiumoreventvenue:quicken+AF8-loans+AF8-arena,concept:stadiumlocatedincity,concept:city:cleveland,0.4276426435,1
concept:stadiumoreventvenue:joe+AF8-louis+AF8-arena,concept:stadiumlocatedincity,concept:city:detroit,0.4773312807,1
concept:sportsteam:chicago+AF8-cubs,concept:teamplaysincity,concept:city:chicago,0.4143873155,1
concept:sportsteam:cleveland+AF8-browns,concept:teamplaysincity,concept:city:cleveland,0.4276425838,1
concept:stadiumoreventvenue:american+AF8-airlines+AF8-center,concept:stadiumlocatedincity,concept:city:dallas,0.4258196354,1
concept:stadiumoreventvenue:mellon+AF8-arena,concept:stadiumlocatedincity,concept:city:pittsburgh,0.5013662577,1
concept:sportsteam:boston+AF8-celtics,concept:organizationhiredperson,concept:coach:doc+AF8-rivers,0.4276425838,1
concept:stadiumoreventvenue:verizon+AF8-center,concept:stadiumlocatedincity,concept:city:washington+AF8-d+AF8-c,0.4276425838,1
concept:sportsteam:capitals,concept:teamplaysincity,concept:city:washington+AF8-d+AF8-c,0.4203598201,1
concept:stadiumoreventvenue:petco+AF8-park,concept:stadiumlocatedincity,concept:city:san+AF8-diego,0.4142830968,1
concept:stadiumoreventvenue:candlestick+AF8-park,concept:stadiumlocatedincity,concept:city:san+AF8-francisco,0.4276425838,1
concept:stadiumoreventvenue:heinz+AF8-field,concept:stadiumlocatedincity,concept:city:pittsburgh,0.5670258403,1
concept:sportsteam:steelers,concept:teamplaysincity,concept:city:pittsburgh,0.5055041313,1
concept:athlete:carson+AF8-palmer,concept:athletecoach,concept:coach:marvin+AF8-lewis,0.3927882016,1
concept:stadiumoreventvenue:citizen+AF8-bank+AF8-park,concept:stadiumlocatedincity,concept:city:philadelphia,0.4062177241,1
concept:stadiumoreventvenue:mcafee+AF8-coliseum,concept:stadiumlocatedincity,concept:city:oakland,0.4379006922,1
concept:athlete:cleon+AF8-jones,concept:athleteplayssport,concept:sport:baseball,0.3860255778,1
concept:sportsteam:suns,concept:teamplaysincity,concept:city:phoenix,0.418163985,1
concept:sportsteam:buccaneers,concept:teamplaysincity,concept:city:tampa+AF8-bay,0.414283067,1
