Subject,Predicate,Object,stv,Strength,overall,MturkTruth
concept:sportsteam:hawks,concept:teamplaysincity,concept:city:atlanta,0.4255912602,58,24.6842930916,1
concept:stadiumoreventvenue:honda+AF8-center,concept:stadiumlocatedincity,concept:city:anaheim,0.4276425838,52,22.2374143576,1
concept:sportsteam:ducks,concept:teamplaysincity,concept:city:anaheim,0.4762486517,58,27.6224217986,1
concept:sportsteam:n1985+AF8-chicago+AF8-bears,concept:teamplaysincity,concept:city:chicago,0.4106097221,145,59.5384097045,1
concept:stadiumoreventvenue:philips+AF8-arena,concept:stadiumlocatedincity,concept:city:atlanta,0.4190083146,52,21.7884323592,1
concept:stadiumoreventvenue:united+AF8-center,concept:stadiumlocatedincity,concept:city:chicago,0.4211134315,104,43.795796876,1
concept:sportsteam:boston+AF8-celtics,concept:teamplaysincity,concept:city:boston,0.4276425838,87,37.2049047906,1
concept:sportsteam:bills,concept:teamplaysincity,concept:city:buffalo,0.4448287487,58,25.8000674246,1
concept:stadiumoreventvenue:ralph+AF8-wilson+AF8-stadium,concept:stadiumlocatedincity,concept:city:buffalo,0.4818992913,52,25.0587631476,1
concept:sportsteam:boston+AF8-bruins,concept:teamplaysincity,concept:city:boston,0.7281054258,87,63.3451720446,1
concept:stadiumoreventvenue:soldier+AF8-field,concept:stadiumlocatedincity,concept:city:chicago,0.4276424944,104,44.4748194176,1
concept:sportsteam:chicago+AF8-bulls,concept:teamplaysincity,concept:city:chicago,0.4070726931,145,59.0255404995,1
concept:stadiumoreventvenue:td+AF8-banknorth+AF8-garden,concept:stadiumlocatedincity,concept:city:boston,0.4276425838,52,22.2374143576,1
concept:sportsteam:blackhawks,concept:teamplaysincity,concept:city:chicago,0.427806139,145,62.031890155,1
concept:sportsteam:los+AF8-angeles+AF8-clippers,concept:teamplaysincity,concept:city:los+AF8-angeles,0.4475468695,87,38.9365776465,1
concept:sportsteam:houston+AF8-astros,concept:teamplaysincity,concept:city:houston,0.4276425838,58,24.8032698604,1
concept:stadiumoreventvenue:great+AF8-american+AF8-ball+AF8-park,concept:stadiumlocatedincity,concept:city:cincinnati,0.4070726633,78,31.7516677374,1
concept:sportsteam:red+AF8-wings,concept:teamplaysincity,concept:city:detroit,0.4475468397,58,25.9577167026,1
concept:sportsteam:cavaliers,concept:teamplaysincity,concept:city:cleveland,0.4276425838,87,37.2049047906,1
concept:stadiumoreventvenue:cleveland+AF8-browns+AF8-stadium,concept:stadiumlocatedincity,concept:city:cleveland,0.4319685698,78,33.6935484444,0
concept:stadiumoreventvenue:paul+AF8-brown+AF8-stadium,concept:stadiumlocatedincity,concept:city:cincinnati,0.4545196891,78,35.4525357498,1
concept:stadiumoreventvenue:staples+AF8-center,concept:stadiumlocatedincity,concept:city:los+AF8-angeles,0.426417917,52,22.173731684,1
concept:sportsteam:marlins,concept:teamplaysincity,concept:city:miami,0.4420254827,58,25.6374779966,1
concept:sportsteam:clippers,concept:teamplaysincity,concept:city:los+AF8-angeles,0.471540451,87,41.024019237,1
concept:stadiumoreventvenue:minute+AF8-maid+AF8-park,concept:stadiumlocatedincity,concept:city:houston,0.4276425838,52,22.2374143576,1
concept:sportsteam:bengals,concept:teamplaysincity,concept:city:cincinnati,0.4276425838,87,37.2049047906,1
concept:sportsteam:reds,concept:teamplaysincity,concept:city:cincinnati,0.4584060609,87,39.8813272983,1
concept:sportsteam:mavericks,concept:teamplaysincity,concept:city:dallas,0.416775465,58,24.17297697,1
concept:stadiumoreventvenue:fedex+AF8-forum,concept:stadiumlocatedincity,concept:city:memphis,0.4276425838,52,22.2374143576,1
concept:sportsteam:memphis+AF8-grizzlies,concept:teamplaysincity,concept:city:memphis,0.934304893,58,54.189683794,1
concept:stadiumoreventvenue:wrigley+AF8-field,concept:stadiumlocatedincity,concept:city:chicago,0.3989317715,104,41.488904236,1
concept:stadiumoreventvenue:quicken+AF8-loans+AF8-arena,concept:stadiumlocatedincity,concept:city:cleveland,0.4276426435,78,33.356126193,1
concept:stadiumoreventvenue:joe+AF8-louis+AF8-arena,concept:stadiumlocatedincity,concept:city:detroit,0.4773312807,52,24.8212265964,1
concept:sportsteam:chicago+AF8-cubs,concept:teamplaysincity,concept:city:chicago,0.4143873155,145,60.0861607475,1
concept:sportsteam:cleveland+AF8-browns,concept:teamplaysincity,concept:city:cleveland,0.4276425838,87,37.2049047906,1
concept:stadiumoreventvenue:american+AF8-airlines+AF8-center,concept:stadiumlocatedincity,concept:city:dallas,0.4258196354,52,22.1426210408,1
concept:stadiumoreventvenue:mellon+AF8-arena,concept:stadiumlocatedincity,concept:city:pittsburgh,0.5013662577,78,39.1065681006,1
concept:sportsteam:boston+AF8-celtics,concept:organizationhiredperson,concept:coach:doc+AF8-rivers,0.4276425838,2,0.8552851676,1
concept:stadiumoreventvenue:verizon+AF8-center,concept:stadiumlocatedincity,concept:city:washington+AF8-d+AF8-c,0.4276425838,52,22.2374143576,1
concept:sportsteam:capitals,concept:teamplaysincity,concept:city:washington+AF8-d+AF8-c,0.4203598201,58,24.3808695658,1
concept:stadiumoreventvenue:petco+AF8-park,concept:stadiumlocatedincity,concept:city:san+AF8-diego,0.4142830968,52,21.5427210336,1
concept:stadiumoreventvenue:candlestick+AF8-park,concept:stadiumlocatedincity,concept:city:san+AF8-francisco,0.4276425838,52,22.2374143576,1
concept:stadiumoreventvenue:heinz+AF8-field,concept:stadiumlocatedincity,concept:city:pittsburgh,0.5670258403,78,44.2280155434,1
concept:sportsteam:steelers,concept:teamplaysincity,concept:city:pittsburgh,0.5055041313,87,43.9788594231,1
concept:athlete:carson+AF8-palmer,concept:athletecoach,concept:coach:marvin+AF8-lewis,0.3927882016,8,3.1423056128,1
concept:stadiumoreventvenue:citizen+AF8-bank+AF8-park,concept:stadiumlocatedincity,concept:city:philadelphia,0.4062177241,52,21.1233216532,1
concept:stadiumoreventvenue:mcafee+AF8-coliseum,concept:stadiumlocatedincity,concept:city:oakland,0.4379006922,52,22.7708359944,1
concept:athlete:cleon+AF8-jones,concept:athleteplayssport,concept:sport:baseball,0.3860255778,259455,100156.266288099,1
concept:sportsteam:suns,concept:teamplaysincity,concept:city:phoenix,0.418163985,58,24.25351113,1
concept:sportsteam:buccaneers,concept:teamplaysincity,concept:city:tampa+AF8-bay,0.414283067,58,24.028417886,1
concept:stadiumoreventvenue:st+AF8AXwBf-pete+AF8-times+AF8-forum,concept:stadiumlocatedincity,concept:city:tampa+AF8-bay,0.4470738173,52,23.2478384996,1
concept:athlete:brian+AF8-urlacher,concept:athletecoach,concept:coach:lovie+AF8-smith,0.4976425838,8,3.9811406704,0
concept:athlete:peyton+AF8-manning,concept:athletecoach,concept:coach:tony+AF8-dungy,0.4276426435,8,3.421141148,1
concept:athlete:pudge+AF8-rodriguez,concept:athleteplayssport,concept:sport:baseball,0.4402164221,259455,114216.351795956,1
concept:sportsteam:philadelphia+AF8-phillies,concept:teamplaysincity,concept:city:philadelphia,0.3957529068,58,22.9536685944,1
concept:sportsteam:pittsburgh+AF8-penguins,concept:teamplaysincity,concept:city:pittsburgh,0.4305918813,87,37.4614936731,1
concept:stadiumoreventvenue:us+AF8-airways+AF8-center,concept:stadiumlocatedincity,concept:city:phoenix,0.5623805523,52,29.2437887196,1
concept:sportsteam:san+AF8-francisco+AF8-giants,concept:teamplaysincity,concept:city:san+AF8-francisco,0.4475468695,58,25.957718431,1
concept:sportsteam:san+AF8-diego+AF8-chargers,concept:teamplaysincity,concept:city:san+AF8-diego,0.4154197276,58,24.0943442008,1
concept:sportsteam:oakland+AF8-raiders,concept:teamplaysincity,concept:city:oakland,0.4276425838,58,24.8032698604,1
concept:athlete:paul+AF8-pierce,concept:athletecoach,concept:coach:doc+AF8-rivers,0.4254615903,8,3.4036927224,1
concept:athlete:baldelli,concept:athleteplayssport,concept:sport:baseball,0.5763933659,259455,149548.140749585,1
concept:stadiumoreventvenue:dolphin+AF8-stadium,concept:stadiumlocatedincity,concept:city:miami,0.4065217078,52,21.1391288056,1
concept:athlete:lenny+AF8-dykstra,concept:athleteplayssport,concept:sport:baseball,0.4091893435,259455,106166.221117793,1
concept:athlete:steve+AF8-garvey,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,259455,110954.006579829,1
concept:athlete:dustin+AF8-pedroia,concept:athleteplaysforteam,concept:sportsteam:red+AF8-sox,0.4606230557,1457.5,671.3581036828,1
concept:sportsteam:new+AF8-england+AF8-patriots,concept:teamhomestadium,concept:stadiumoreventvenue:gillette+AF8-stadium,0.368374157,194,71.464586458,1
concept:personmexico:d+AF8-j+AF8AXw-mbenga,concept:coachesteam,concept:sportsteam:akron,0.3276425838,13,4.2593535894,0
concept:personmexico:edinson+AF8-volquez,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4722478986,259173,122393.904623858,1
concept:athlete:tom+AF8-glavine,concept:athleteplaysinleague,concept:sportsleague:mlb,0.3927882314,259455,101910.870577887,1
concept:sportsleague:nba,concept:leaguestadiums,concept:stadiumoreventvenue:oracle+AF8-arena,0.5164126754,1992,1028.6940493968,1
concept:athlete:darrell+AF8-rasner,concept:athleteplayssport,concept:sport:baseball,0.4276425838,259455,110954.006579829,1
concept:personmexico:nick+AF8-punto,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,259173,110833.411371197,1
concept:athlete:jesse+AF8-orosco,concept:athleteplayssport,concept:sport:baseball,0.4276425838,259455,110954.006579829,1
concept:athlete:joel+AF8-guzman,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4940722883,259455,128189.525560877,1
concept:athlete:dwight+AF8-gooden,concept:athleteplayssport,concept:sport:baseball,0.4276425838,259455,110954.006579829,1
concept:sportsteam:dallas+AF8-cowboys,concept:teamplaysinleague,concept:sportsleague:nfl,0.4242300987,1848,783.9772223976,1
concept:sportsteam:tampa+AF8-bay+AF8-devil+AF8-rays,concept:teamhomestadium,concept:stadiumoreventvenue:tropicana+AF8-field,0.3927882314,291,114.3013753374,1
concept:athlete:brian+AF8-shouse,concept:athleteplayssport,concept:sport:baseball,0.4396559894,259455,114070.944729777,1
concept:personmexico:chien+AF8-ming+AF8-wang,concept:athleteplayssport,concept:sport:baseball,0.4143873155,259173,107398.003720082,1
concept:athlete:edgar+AF8-martinez,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,259455,110954.006579829,1
concept:athlete:alberto+AF8-arias,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4049160779,259455,105057.500991545,1
concept:athlete:chris+AF8-resop,concept:athleteplaysinleague,concept:sportsleague:mlb,0.9446027279,259455,245081.900767294,1
concept:athlete:carl+AF8-landry,concept:athleteplaysforteam,concept:sportsteam:rockets,0.4365055859,545.5,238.1137971085,1
concept:athlete:matt+AF8-wieters,concept:athleteplayssport,concept:sport:baseball,0.4402164221,259455,114216.351795956,1
concept:coach:john+AF8-buck,concept:athleteplaysinleague,concept:sportsleague:mlb,0.411786288,259116,106700.415801408,1
concept:sportsleague:nba,concept:leaguestadiums,concept:stadiumoreventvenue:american+AF8-airlines+AF8-center,0.4634473324,1992,923.1870861408,1
concept:coach:kevin+AF8-youkilis,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276426435,259116,110809.051213146,1
concept:athlete:rudy+AF8-gay,concept:athleteplaysforteam,concept:sportsteam:memphis+AF8-grizzlies,0.467041105,203.5,95.0428648675,1
concept:athlete:matt+AF8-hasselbeck,concept:athleteledsportsteam,concept:sportsteam:seahawks,0.4463981986,318.5,142.1778262541,1
concept:personmexico:jason+AF8-giambi,concept:athleteplaysforteam,concept:sportsteam:new+AF8-york+AF8-yankees,0.4276425838,1611,688.9322025018,1
concept:athlete:ichiro,concept:athleteplaysforteam,concept:sportsteam:seattle+AF8-mariners,0.4276425838,431.5,184.5277749097,1
concept:sportsteam:chicago+AF8-cubs,concept:teamhomestadium,concept:stadiumoreventvenue:wrigley+AF8-field,0.4276425838,291,124.4439918858,1
concept:athlete:jason+AF8-kapono,concept:athleteplaysforteam,concept:sportsteam:raptors,0.4116343558,887.5,365.3254907725,1
concept:athlete:giambi,concept:athleteledsportsteam,concept:sportsteam:new+AF8-york+AF8-yankees,0.4474327564,1128.3333333333,504.8532934713,1
concept:sportsteam:minnesota+AF8-vikings,concept:teamhomestadium,concept:stadiumoreventvenue:metrodome,0.4402164221,291,128.1029788311,1
concept:athlete:sean+AF8-casey,concept:athleteplayssport,concept:sport:baseball,0.4276425838,259455,110954.006579829,1
concept:coach:rickie+AF8-weeks,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,259116,110809.035743921,1
concept:male:yogi+AF8-berra,concept:athleteplayssport,concept:sport:baseball,0.3849399984,259084,99731.7945454656,1
concept:personmexico:shane+AF8-victorino,concept:athleteplaysforteam,concept:sportsteam:phillies,0.5085251331,129,65.5997421699,1
concept:athlete:derosa,concept:athleteledsportsteam,concept:sportsteam:chicago+AF8-cubs,0.4085102677,662,270.4337972174,1
concept:athlete:tarvaris+AF8-jackson,concept:athleteledsportsteam,concept:sportsteam:minnesota+AF8-vikings,0.4203598499,204,85.7534093796,1
concept:athlete:brett+AF8-myers,concept:athleteplayssport,concept:sport:baseball,0.427351743,259455,110878.546480065,1
concept:athlete:jim+AF8-rice,concept:athleteplaysforteam,concept:sportsteam:boston+AF8-red,0.5593721271,203.5,113.8322278649,1
concept:personmexico:jay+AF8-gibbons,concept:athleteplaysforteam,concept:sportsteam:orioles,0.4276425838,243,103.9171478634,1
concept:athlete:julio+AF8-franco,concept:athleteplayssport,concept:sport:baseball,0.4276425838,259455,110954.006579829,1
concept:sportsleague:ncaa,concept:leaguestadiums,concept:stadiumoreventvenue:jordan+AF8-hare+AF8-stadium,0.5163173676,913,471.3977566188,1
concept:athlete:mike+AF8-dunleavy,concept:athleteledsportsteam,concept:sportsteam:pacers,0.4163707495,204,84.939632898,1
concept:athlete:willie+AF8-mcginest,concept:athleteplaysforteam,concept:sportsteam:new+AF8-york+AF8-giants,0.4276425838,545.5,233.2790294629,1
concept:athlete:asdrubal+AF8-cabrera,concept:athleteplayssport,concept:sport:baseball,0.4191691279,259455,108755.526079295,1
concept:coach:mark+AF8-kotsay,concept:athleteplaysforteam,concept:sportsteam:atlanta+AF8-braves,0.4219606817,459,193.6799529003,1
concept:athlete:andruw+AF8-jones,concept:athleteledsportsteam,concept:sportsteam:atlanta+AF8-braves,0.3854900002,776.5,299.3329851553,1
concept:personmexico:michael+AF8-bourn,concept:athleteplaysforteam,concept:sportsteam:houston+AF8-astros,0.4276425838,471,201.4196569698,1
concept:athlete:grady+AF8-sizemore,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,259455,110954.006579829,1
concept:athlete:roberto+AF8-alomar,concept:athleteplayssport,concept:sport:baseball,0.5397354364,259455,140037.057651162,1
concept:athlete:tayshaun+AF8-prince,concept:athleteledsportsteam,concept:sportsteam:fort+AF8-wayne+AF8-pistons,0.4976425838,318.5,158.4991629403,0
concept:athlete:a+AF8-j+AF8AXw-murray,concept:athleteplayssport,concept:sport:baseball,0.4386642873,259455,113813.642661422,1
concept:athlete:john+AF8-smoltz,concept:athleteplayssport,concept:sport:baseball,0.4276426733,259455,110954.029801052,1
concept:athlete:andruw+AF8-jones,concept:athleteplaysforteam,concept:sportsteam:atlanta+AF8-braves,0.4373797476,773.5,338.3132347686,1
concept:sportsleague:nfl,concept:leaguestadiums,concept:stadiumoreventvenue:giants+AF8-stadium,0.4998838305,1660,829.80715863,1
concept:athlete:brayan+AF8-pena,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,259455,110954.006579829,1
concept:athlete:frank+AF8-francisco,concept:athleteledsportsteam,concept:sportsteam:rangers,0.489480406,318.5,155.899509311,1
concept:athlete:alan+AF8-embree,concept:athleteplayssport,concept:sport:baseball,0.4584923983,259455,118958.145200927,1
concept:athlete:rickey+AF8-henderson,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4276425838,259455,110954.006579829,1
concept:athlete:hunter+AF8-pence,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4161922038,259455,107983.148236929,1
concept:athlete:luke+AF8-walton,concept:athleteplaysforteam,concept:sportsteam:los+AF8-angeles+AF8-lakers,0.5163173676,1001.5,517.0918436514,1
concept:athlete:bruce+AF8-gradkowski,concept:athleteledsportsteam,concept:sportsteam:bucs,0.4599933028,204,93.8386337712,0
concept:athlete:jeff+AF8-kent,concept:athleteledsportsteam,concept:sportsteam:dodgers,0.5193655491,662,343.8199935042,1
concept:athlete:bill+AF8-mueller,concept:athleteplayssport,concept:sport:baseball,0.4260382354,259455,110537.750365707,1
concept:athlete:magglio+AF8-ordonez,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4116143584,259455,106795.403358672,1
concept:personmexico:mark+AF8-loretta,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4746642113,259173,123020.147635255,1
concept:athlete:daisuke+AF8-matsuzaka,concept:athleteplayssport,concept:sport:baseball,0.5098390579,259455,132280.292767445,1
concept:athlete:nicklas+AF8-lidstrom,concept:athleteplaysforteam,concept:sportsteam:red+AF8-wings,0.4276426435,635,271.5530786225,1
concept:athlete:chris+AF8-narveson,concept:athleteplaysinleague,concept:sportsleague:mlb,0.4327291846,259455,112273.750590393,1
concept:personmexico:jack+AF8-wilson,concept:athleteplayssport,concept:sport:baseball,0.4687347114,259173,121483.381357672,1
concept:personmexico:todd+AF8-coffey,concept:athleteplayssport,concept:sport:baseball,0.4276425838,259173,110833.411371197,1
concept:sportsleague:mlb,concept:leaguestadiums,concept:stadiumoreventvenue:miller+AF8-park,0.4335804582,2407,1043.6281628874,1
