Subject,Predicate,Object,stv,Strength,overall,MturkTruth
Alexander_III_of_Russia,isMarriedTo,Maria_Feodorovna__Dagmar_of_Denmark_,0.4259421229,,,1
Amitabh_Bachchan,isMarriedTo,Jaya_Bachchan,0.4643097818,,,1
Arthur_Miller,isMarriedTo,Marilyn_Monroe,0.4276425838,,,1
Jack_Lemmon,isMarriedTo,Cynthia_Stone,0.4276425838,,,1
Marilyn_Monroe,isMarriedTo,Arthur_Miller,0.6498667002,,,1
Maria_Feodorovna__Dagmar_of_Denmark_,isMarriedTo,Alexander_III_of_Russia,0.7095966935,,,1
Quentin_Tarantino,produced,From_Dusk_till_Dawn,0.4628247619,,,1
Quentin_Tarantino,created,From_Dusk_till_Dawn,0.4218543768,,,1
Quentin_Tarantino,actedIn,From_Dusk_till_Dawn,0.4276425838,,,1
Quentin_Tarantino,produced,My_Best_Friend's_Birthday,0.4180829227,,,1
Quentin_Tarantino,created,My_Best_Friend's_Birthday,0.4820273817,,,1
Quentin_Tarantino,actedIn,My_Best_Friend's_Birthday,0.3956604898,,,1
Quentin_Tarantino,directed,My_Best_Friend's_Birthday,0.467564255,,,1
Quentin_Tarantino,created,Grave_Danger,0.2276425838,,,0
Quentin_Tarantino,directed,Grave_Danger,0.3988951445,,,1
Russell_Crowe,isMarriedTo,Danielle_Spencer__Australian_singer_,0.4475468695,,,1
Robin_Wright_Penn,isMarriedTo,Sean_Penn,0.4300121665,,,1
Stephen_of_England,isMarriedTo,Matilda_of_Boulogne,0.4153022468,,,1
Tiberius,isMarriedTo,Julia_the_Elder,0.4180829227,,,1
Oskar_Schindler,isMarriedTo,Emilie_Schindler,0.4195937812,,,1
Mai_Zetterling,created,Loving_Couples__1964_film_,0.3276425838,,,0
Mai_Zetterling,directed,Loving_Couples__1964_film_,0.4276425838,,,1
Mai_Zetterling,created,Doctor_Glas__film_,0.4153022468,,,1
Mai_Zetterling,directed,Doctor_Glas__film_,0.3854900301,,,1
Al_Pacino,created,Looking_for_Richard,0.1229934812,,,0
Al_Pacino,actedIn,Looking_for_Richard,0.4276423454,,,1
Al_Pacino,directed,Looking_for_Richard,0.422993511,,,1
Barbara_Stanwyck,isMarriedTo,Frank_Fay__American_actor_,0.446823746,,,1
Tom_Hanks,isMarriedTo,Rita_Wilson,0.50589782,,,1
